          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  5.2507600E+01 -8.5086217E-08 -1.3213178E-11 -2.5376608E-09 -1.6777692E-01  0.0000000E+00
  5.2507600E+01 -2.6259648E-02 -2.2084695E-03 -6.8251759E-03 -1.6583748E-01  0.0000000E+00
  5.2507600E+01 -5.3641745E-02 -9.3762003E-03 -2.2295541E-02 -1.6365922E-01  0.0000000E+00
  5.2507600E+01 -6.2359764E-02 -2.0421502E-02 -3.9735626E-02 -1.6075111E-01  0.0000000E+00
  5.2507600E+01 -4.8973435E-02 -2.8704160E-02 -5.3527438E-02 -1.5702896E-01  0.0000000E+00
  5.2507600E+01 -2.3941735E-02 -2.8705982E-02 -6.1013293E-02 -1.5267107E-01  0.0000000E+00
  5.2507600E+01  2.2721451E-03 -2.0891535E-02 -6.2457892E-02 -1.4796173E-01  0.0000000E+00
  5.2507600E+01  2.5382391E-02 -9.5830710E-03 -5.9702243E-02 -1.4316552E-01  0.0000000E+00
  5.2507600E+01  4.4619903E-02  1.4516301E-03 -5.4776859E-02 -1.3847443E-01  0.0000000E+00
  5.2507600E+01  6.0136871E-02  1.0318724E-02 -4.9125742E-02 -1.3399650E-01  0.0000000E+00
  5.2507600E+01  7.1827135E-02  1.6834731E-02 -4.3477974E-02 -1.2975733E-01  0.0000000E+00
  5.2507600E+01  7.9644874E-02  2.1414566E-02 -3.8235987E-02 -1.2583826E-01  0.0000000E+00
  5.2507600E+01  8.4313739E-02  2.4702354E-02 -3.3428240E-02 -1.2220246E-01  0.0000000E+00
  5.2507600E+01  8.6707521E-02  2.7109374E-02 -2.9055254E-02 -1.1883440E-01  0.0000000E+00
  5.2507600E+01  8.7665287E-02  2.8902149E-02 -2.5119302E-02 -1.1571404E-01  0.0000000E+00
  5.2507600E+01  8.7804685E-02  3.0284664E-02 -2.1585872E-02 -1.1281439E-01  0.0000000E+00
  5.2507600E+01  8.7329515E-02  3.1172260E-02 -1.8408339E-02 -1.1011313E-01  0.0000000E+00
  5.2507600E+01  8.6228538E-02  3.1649187E-02 -1.5530012E-02 -1.0758773E-01  0.0000000E+00
  5.2507600E+01  8.4584195E-02  3.1680843E-02 -1.2910892E-02 -1.0521973E-01  0.0000000E+00
