          atime         tdf_uu         tdf_vv         tdf_ww         pm1avg           tavg
  5.2507600E+01 -6.6489350E-07 -2.5660156E-08  1.0782313E-08 -1.6777692E-01  0.0000000E+00
  5.2507600E+01  4.6631010E-03  5.8906493E-05  4.1325314E-04 -1.6583748E-01  0.0000000E+00
  5.2507600E+01  2.2635792E-02  6.1538699E-04  2.4315233E-03 -1.6365922E-01  0.0000000E+00
  5.2507600E+01  3.6420765E-02  1.9055163E-03  3.7584105E-03 -1.6075111E-01  0.0000000E+00
  5.2507600E+01  3.0251315E-02  3.8145623E-03 -1.6420230E-03 -1.5702896E-01  0.0000000E+00
  5.2507600E+01  8.0936852E-03  6.2680343E-03 -1.6884847E-02 -1.5267107E-01  0.0000000E+00
  5.2507600E+01 -1.3481967E-02  8.8371467E-03 -3.6894916E-02 -1.4796173E-01  0.0000000E+00
  5.2507600E+01 -2.4160152E-02  1.0687593E-02 -5.1678164E-02 -1.4316552E-01  0.0000000E+00
  5.2507600E+01 -2.4058415E-02  1.1194113E-02 -5.4644109E-02 -1.3847443E-01  0.0000000E+00
  5.2507600E+01 -1.9487867E-02  1.0279702E-02 -4.6240327E-02 -1.3399650E-01  0.0000000E+00
  5.2507600E+01 -1.5621472E-02  7.8869580E-03 -3.2129548E-02 -1.2975733E-01  0.0000000E+00
  5.2507600E+01 -1.4867408E-02  4.2654584E-03 -1.7975299E-02 -1.2583826E-01  0.0000000E+00
  5.2507600E+01 -1.6837103E-02 -8.8749476E-05 -6.3253425E-03 -1.2220246E-01  0.0000000E+00
  5.2507600E+01 -1.9969310E-02 -4.5400967E-03  2.5309683E-03 -1.1883440E-01  0.0000000E+00
  5.2507600E+01 -2.2969346E-02 -8.5129402E-03  9.1587477E-03 -1.1571404E-01  0.0000000E+00
  5.2507600E+01 -2.5106578E-02 -1.1587872E-02  1.4079058E-02 -1.1281439E-01  0.0000000E+00
  5.2507600E+01 -2.6542607E-02 -1.3750622E-02  1.7581052E-02 -1.1011313E-01  0.0000000E+00
  5.2507600E+01 -2.7383391E-02 -1.5125365E-02  1.9926227E-02 -1.0758773E-01  0.0000000E+00
  5.2507600E+01 -2.7340421E-02 -1.5954844E-02  2.1383460E-02 -1.0521973E-01  0.0000000E+00
  5.2507600E+01 -2.6207406E-02 -1.6467674E-02  2.2230400E-02 -1.0299255E-01  0.0000000E+00
  5.2507600E+01 -2.4032614E-02 -1.6839501E-02  2.2711315E-02 -1.0089261E-01  0.0000000E+00
  5.2507600E+01 -2.1132146E-02 -1.7178818E-02  2.3002323E-02 -9.8909240E-02  0.0000000E+00
  5.2507600E+01 -1.7993965E-02 -1.7531375E-02  2.3190577E-02 -9.7033848E-02  0.0000000E+00
  5.2507600E+01 -1.5122539E-02 -1.7897080E-02  2.3273935E-02 -9.5258902E-02  0.0000000E+00
  5.2507600E+01 -1.2873940E-02 -1.8253336E-02  2.3187698E-02 -9.3577136E-02  0.0000000E+00
  5.2507600E+01 -1.1331269E-02 -1.8578715E-02  2.2864946E-02 -9.1981466E-02  0.0000000E+00
  5.2507600E+01 -1.0250409E-02 -1.8866496E-02  2.2326181E-02 -9.0465884E-02  0.0000000E+00
  5.2507600E+01 -9.2714155E-03 -1.9092076E-02  2.1521979E-02 -8.9022828E-02  0.0000000E+00
  5.2507600E+01 -8.4131723E-03 -1.9290084E-02  2.0498490E-02 -8.7647193E-02  0.0000000E+00
  5.2507600E+01 -7.5416475E-03 -1.9490566E-02  1.9327685E-02 -8.6333083E-02  0.0000000E+00
  5.2507600E+01 -6.6285826E-03 -1.9737605E-02  1.8080626E-02 -8.5066532E-02  0.0000000E+00
  5.2507600E+01 -5.7260657E-03 -2.0059817E-02  1.6828693E-02 -8.3862011E-02  0.0000000E+00
  5.2507600E+01 -4.8888639E-03 -2.0471906E-02  1.5573993E-02 -8.2706360E-02  0.0000000E+00
  5.2507600E+01 -4.1777118E-03 -2.0968602E-02  1.4289088E-02 -8.1596271E-02  0.0000000E+00
  5.2507600E+01 -3.6398900E-03 -2.1532768E-02  1.2922606E-02 -8.0528678E-02  0.0000000E+00
  5.2507600E+01 -3.3043560E-03 -2.2144426E-02  1.1420482E-02 -7.9500711E-02  0.0000000E+00
  5.2507600E+01 -3.1821606E-03 -2.2788873E-02  9.7487920E-03 -7.8509674E-02  0.0000000E+00
  5.2507600E+01 -3.2694859E-03 -2.3460440E-02  7.9130999E-03 -7.7553032E-02  0.0000000E+00
  5.2507600E+01 -3.5506430E-03 -2.4158441E-02  5.9692775E-03 -7.6628393E-02  0.0000000E+00
  5.2507600E+01 -3.9983630E-03 -2.4871877E-02  4.0207361E-03 -7.5733461E-02  0.0000000E+00
  5.2507600E+01 -4.5687203E-03 -2.5549445E-02  2.1970131E-03 -7.4865927E-02  0.0000000E+00
  5.2507600E+01 -4.9900006E-03 -2.6249280E-02  3.9513917E-04 -7.4023761E-02  0.0000000E+00
  5.2507600E+01 -5.6442553E-03 -2.6857415E-02 -1.0439301E-03 -7.3205267E-02  0.0000000E+00
  5.2507600E+01 -6.2646564E-03 -2.7393831E-02 -2.2064265E-03 -7.2408694E-02  0.0000000E+00
  5.2507600E+01 -6.7490141E-03 -2.7862688E-02 -3.1457755E-03 -7.1632561E-02  0.0000000E+00
  5.2507600E+01 -7.1236359E-03 -2.8245294E-02 -3.8650121E-03 -7.0875631E-02  0.0000000E+00
  5.2507600E+01 -7.4537333E-03 -2.8518256E-02 -4.3525903E-03 -7.0136831E-02  0.0000000E+00
  5.2507600E+01 -7.7909814E-03 -2.8664497E-02 -4.6047881E-03 -6.9415251E-02  0.0000000E+00
  5.2507600E+01 -8.1508857E-03 -2.8678408E-02 -4.6369893E-03 -6.8710068E-02  0.0000000E+00
  5.2507600E+01 -8.5126073E-03 -2.8566427E-02 -4.4861225E-03 -6.8020552E-02  0.0000000E+00
  5.2507600E+01 -8.8360165E-03 -2.8342302E-02 -4.2041420E-03 -6.7341103E-02  0.0000000E+00
  5.2507600E+01 -9.0752180E-03 -2.8029791E-02 -3.8589566E-03 -6.6681121E-02  0.0000000E+00
  5.2507600E+01 -9.2165063E-03 -2.7647036E-02 -3.5108146E-03 -6.6034963E-02  0.0000000E+00
  5.2507600E+01 -9.2842585E-03 -2.7207574E-02 -3.2100487E-03 -6.5402158E-02  0.0000000E+00
  5.2507600E+01 -9.3452925E-03 -2.6715985E-02 -2.9878633E-03 -6.4782216E-02  0.0000000E+00
  5.2507600E+01 -9.4889603E-03 -2.6167913E-02 -2.8536520E-03 -6.4174686E-02  0.0000000E+00
  5.2507600E+01 -9.7782119E-03 -2.5554487E-02 -2.7994536E-03 -6.3579152E-02  0.0000000E+00
  5.2507600E+01 -1.0164283E-02 -2.4872419E-02 -2.8138263E-03 -6.2995112E-02  0.0000000E+00
  5.2507600E+01 -1.0507815E-02 -2.4078333E-02 -2.8431109E-03 -6.2422257E-02  0.0000000E+00
  5.2507600E+01 -1.1233367E-02 -2.3164905E-02 -2.9568011E-03 -6.1860033E-02  0.0000000E+00
  5.2507600E+01 -1.2064912E-02 -2.2114469E-02 -3.0885622E-03 -6.1307881E-02  0.0000000E+00
  5.2507600E+01 -1.2766146E-02 -2.0925454E-02 -3.1736326E-03 -6.0765404E-02  0.0000000E+00
  5.2507600E+01 -1.3222885E-02 -1.9623442E-02 -3.1866724E-03 -6.0231936E-02  0.0000000E+00
  5.2507600E+01 -1.3406700E-02 -1.8247587E-02 -3.1296197E-03 -5.9706984E-02  0.0000000E+00
  5.2507600E+01 -1.3344837E-02 -1.6840217E-02 -3.0217687E-03 -5.9189947E-02  0.0000000E+00
  5.2507600E+01 -1.3095927E-02 -1.5439323E-02 -2.8918337E-03 -5.8680266E-02  0.0000000E+00
  5.2507600E+01 -1.2731042E-02 -1.4073636E-02 -2.7717633E-03 -5.8177417E-02  0.0000000E+00
  5.2507600E+01 -1.2319639E-02 -1.2759979E-02 -2.6920670E-03 -5.7680911E-02  0.0000000E+00
  5.2507600E+01 -1.1919903E-02 -1.1502587E-02 -2.6784202E-03 -5.7190300E-02  0.0000000E+00
  5.2507600E+01 -1.1573057E-02 -1.0294105E-02 -2.7493094E-03 -5.6705199E-02  0.0000000E+00
  5.2507600E+01 -1.1299450E-02 -9.1092882E-03 -2.9160653E-03 -5.6221625E-02  0.0000000E+00
  5.2507600E+01 -1.1106796E-02 -7.9429859E-03 -3.1762299E-03 -5.5746441E-02  0.0000000E+00
  5.2507600E+01 -1.0981490E-02 -6.7623067E-03 -3.5202642E-03 -5.5275664E-02  0.0000000E+00
  5.2507600E+01 -1.0902848E-02 -5.5461482E-03 -3.9268419E-03 -5.4809054E-02  0.0000000E+00
  5.2507600E+01 -1.0847957E-02 -4.2811449E-03 -4.3630302E-03 -5.4346307E-02  0.0000000E+00
  5.2507600E+01 -1.0800014E-02 -2.9662577E-03 -4.7832226E-03 -5.3887083E-02  0.0000000E+00
  5.2507600E+01 -1.0757369E-02 -1.6168944E-03 -5.1274585E-03 -5.3431083E-02  0.0000000E+00
  5.2507600E+01 -1.0742836E-02 -2.6825564E-04 -5.3188949E-03 -5.2977956E-02  0.0000000E+00
  5.2507600E+01 -1.0533825E-02  1.1223171E-03 -5.3715074E-03 -5.2527737E-02  0.0000000E+00
  5.2507600E+01 -1.0361756E-02  2.5041246E-03 -5.2958015E-03 -5.2079986E-02  0.0000000E+00
