          atime            tkk            imb            div        garbage        garbage
  5.2507600E+01 -1.7028675E-13  3.6176660E-04  1.7126284E-03 -2.5755725E-11  7.2821507E-05
  5.2507600E+01  1.4916276E-03  1.6935978E-04  1.7256511E-03  1.0438469E-02 -1.7395838E-02
  5.2507600E+01  5.7844439E-03 -4.0770156E-04 -3.5085518E-04  6.1532559E-02 -4.2617628E-02
  5.2507600E+01  1.1870165E-02 -1.0516692E-03 -2.4198955E-03  1.3751654E-01 -6.1814116E-02
  5.2507600E+01  1.8117838E-02  5.0885151E-03 -2.5405932E-03  1.9218124E-01 -6.6768641E-02
  5.2507600E+01  2.3229764E-02  7.6627480E-03  7.6803098E-04  1.9867436E-01 -5.7891205E-02
  5.2507600E+01  2.6747497E-02  1.7561064E-04  3.7535225E-03  1.6538016E-01 -4.0848699E-02
  5.2507600E+01  2.8876672E-02 -1.2967696E-02  6.4552457E-03  1.1652511E-01 -2.1428240E-02
  5.2507600E+01  3.0053999E-02 -1.5394802E-02  6.5786969E-03  7.0806867E-02 -3.6212867E-03
  5.2507600E+01  3.0671423E-02 -4.6840402E-03  2.6766994E-03  3.5585575E-02  1.0890403E-02
  5.2507600E+01  3.0986679E-02  7.5451917E-03 -2.6133026E-03  1.0702865E-02  2.2010923E-02
  5.2507600E+01  3.1145791E-02  1.1768679E-02 -5.6317919E-03 -5.9970127E-03  3.0201585E-02
  5.2507600E+01  3.1232161E-02  8.5880109E-03 -6.6649468E-03 -1.7207797E-02  3.6262398E-02
  5.2507600E+01  3.1288026E-02  3.2905060E-03 -5.6579567E-03 -2.4637193E-02  4.0777634E-02
  5.2507600E+01  3.1336815E-02 -9.7154980E-04 -1.7414909E-03 -2.9412113E-02  4.4218357E-02
  5.2507600E+01  3.1388006E-02 -3.0925398E-03  3.9070343E-04 -3.2344397E-02  4.6835251E-02
  5.2507600E+01  3.1442988E-02 -4.2284938E-03  4.0357648E-03 -3.4020367E-02  4.8747566E-02
  5.2507600E+01  3.1499998E-02 -5.1234109E-03  5.7833036E-03 -3.4809286E-02  4.9961035E-02
  5.2507600E+01  3.1557322E-02 -5.6304575E-03  6.9405627E-03 -3.4906951E-02  5.0557305E-02
  5.2507600E+01  3.1613390E-02 -5.2352054E-03  7.0086862E-03 -3.4438227E-02  5.0724359E-02
  5.2507600E+01  3.1666410E-02 -3.7343283E-03  5.6253752E-03 -3.3522841E-02  5.0614748E-02
  5.2507600E+01  3.1714363E-02 -1.4385425E-03  3.1461073E-03 -3.2296335E-02  5.0297475E-02
  5.2507600E+01  3.1755267E-02  9.5255117E-04  3.8476810E-04 -3.0900679E-02  4.9770703E-02
  5.2507600E+01  3.1787567E-02  2.6560736E-03 -1.9654444E-03 -2.9459059E-02  4.9002429E-02
  5.2507600E+01  3.1810517E-02  3.1438684E-03 -3.7101518E-03 -2.8049302E-02  4.7966311E-02
  5.2507600E+01  3.1824666E-02  2.3679177E-03 -4.8087417E-03 -2.6690886E-02  4.6639781E-02
  5.2507600E+01  3.1831572E-02  7.4793262E-04 -4.1986152E-03 -2.5359199E-02  4.4974059E-02
  5.2507600E+01  3.1833001E-02 -9.7260460E-04 -3.9540215E-03 -2.4031824E-02  4.3270105E-02
  5.2507600E+01  3.1830141E-02 -2.3859634E-03 -2.8445751E-03 -2.2701950E-02  4.1483274E-02
  5.2507600E+01  3.1823221E-02 -3.1406839E-03 -1.6438929E-03 -2.1386662E-02  3.9799160E-02
  5.2507600E+01  3.1812336E-02 -3.2060661E-03 -6.6706204E-04 -2.0101197E-02  3.8287043E-02
  5.2507600E+01  3.1798158E-02 -2.7242115E-03 -6.4360636E-06 -1.8887347E-02  3.6986216E-02
  5.2507600E+01  3.1781613E-02 -1.9060951E-03  3.7517037E-04 -1.7751105E-02  3.5868601E-02
  5.2507600E+01  3.1764195E-02 -9.5937701E-04  5.3465651E-04 -1.6698707E-02  3.4903141E-02
  5.2507600E+01  3.1747794E-02 -5.6009760E-05  5.2303434E-04 -1.5727166E-02  3.4053906E-02
  5.2507600E+01  3.1734509E-02  6.8084875E-04  3.8119210E-04 -1.4826188E-02  3.3284708E-02
  5.2507600E+01  3.1726428E-02  1.1759152E-03  1.5091302E-04 -1.3981206E-02  3.2561253E-02
  5.2507600E+01  3.1725385E-02  1.3950809E-03 -1.1320066E-04 -1.3176865E-02  3.1853722E-02
  5.2507600E+01  3.1732760E-02  1.3411618E-03 -3.4524793E-04 -1.2400308E-02  3.1142664E-02
  5.2507600E+01  3.1749314E-02  1.0600811E-03 -4.9730146E-04 -1.1643697E-02  3.0431080E-02
  5.2507600E+01  3.1775253E-02  6.6745622E-04 -6.1109146E-04 -1.0904585E-02  2.9765587E-02
  5.2507600E+01  3.1809867E-02  1.5220652E-04 -7.4676501E-04 -1.0181494E-02  2.9084864E-02
  5.2507600E+01  3.1852278E-02 -3.3891051E-04 -8.1829202E-04 -9.4786900E-03  2.8426669E-02
  5.2507600E+01  3.1900805E-02 -7.6446490E-04 -8.5875953E-04 -8.8097853E-03  2.7802368E-02
  5.2507600E+01  3.1953724E-02 -1.1161472E-03 -8.8262471E-04 -8.1813834E-03  2.7208623E-02
  5.2507600E+01  3.2009312E-02 -1.3895793E-03 -8.9344333E-04 -7.5947945E-03  2.6645802E-02
