          atime          uplus          yplus           Wshr          trash          trash
  5.2507600E+01  4.3577051E-06  4.3577051E-06  2.3393740E-02  1.3125000E-01  1.3125000E-01
  5.2507600E+01  9.8376436E-01  9.8699151E-01  2.3393740E-02  1.3260000E-01  1.3260000E-01
  5.2507600E+01  1.9325831E+00  1.9739794E+00  2.3393758E-02  1.3395000E-01  1.3395000E-01
  5.2507600E+01  2.7881235E+00  2.9609658E+00  2.3393740E-02  1.3530000E-01  1.3530000E-01
  5.2507600E+01  3.5025617E+00  3.9479544E+00  2.3393758E-02  1.3665000E-01  1.3665000E-01
  5.2507600E+01  4.0576473E+00  4.9349401E+00  2.3393740E-02  1.3800000E-01  1.3800000E-01
  5.2507600E+01  4.4637773E+00  5.9219295E+00  2.3393758E-02  1.3935000E-01  1.3935000E-01
  5.2507600E+01  4.7483830E+00  6.9089144E+00  2.3393740E-02  1.4070000E-01  1.4070000E-01
  5.2507600E+01  4.9431603E+00  7.8959045E+00  2.3393758E-02  1.4205000E-01  1.4205000E-01
  5.2507600E+01  5.0759060E+00  8.8828920E+00  2.3393758E-02  1.4340000E-01  1.4340000E-01
  5.2507600E+01  5.1678827E+00  9.8771905E+00  2.3393758E-02  1.4476000E-01  1.4476000E-01
  5.2507600E+01  5.2320705E+00  1.0864174E+01  2.3393740E-02  1.4611000E-01  1.4611000E-01
  5.2507600E+01  5.2785544E+00  1.1851161E+01  2.3393740E-02  1.4746000E-01  1.4746000E-01
  5.2507600E+01  5.3132620E+00  1.2838148E+01  2.3393740E-02  1.4881000E-01  1.4881000E-01
  5.2507600E+01  5.3400782E+00  1.3825141E+01  2.3393758E-02  1.5016000E-01  1.5016000E-01
  5.2507600E+01  5.3614865E+00  1.4812123E+01  2.3393740E-02  1.5151000E-01  1.5151000E-01
  5.2507600E+01  5.3790961E+00  1.5799110E+01  2.3393740E-02  1.5286000E-01  1.5286000E-01
  5.2507600E+01  5.3939764E+00  1.6786097E+01  2.3393740E-02  1.5421000E-01  1.5421000E-01
  5.2507600E+01  5.4069081E+00  1.7773084E+01  2.3393740E-02  1.5556000E-01  1.5556000E-01
