          atime         vdf_uu         vdf_vv         vdf_ww         pm1avg           tavg
  5.2507600E+01  5.2413870E-01  1.6194351E-05  1.5916638E-01 -1.6777692E-01  0.0000000E+00
  5.2507600E+01  5.1142223E-01  5.1422846E-03  1.6714887E-01 -1.6583748E-01  0.0000000E+00
  5.2507600E+01  2.7860775E-01  1.0354708E-02  1.6931547E-01 -1.6365922E-01  0.0000000E+00
  5.2507600E+01 -7.7875077E-02  1.0010663E-02  1.2645522E-01 -1.6075111E-01  0.0000000E+00
  5.2507600E+01 -3.1193282E-01  7.8680527E-03  4.3903264E-02 -1.5702896E-01  0.0000000E+00
  5.2507600E+01 -3.3953647E-01  7.4870315E-03 -4.0623408E-02 -1.5267107E-01  0.0000000E+00
  5.2507600E+01 -2.3885177E-01  8.4831416E-03 -9.3492136E-02 -1.4796173E-01  0.0000000E+00
  5.2507600E+01 -1.2160340E-01  8.6188753E-03 -1.0925541E-01 -1.4316552E-01  0.0000000E+00
  5.2507600E+01 -3.8854227E-02  7.3636936E-03 -9.9046699E-02 -1.3847443E-01  0.0000000E+00
  5.2507600E+01  3.7609644E-03  5.4230862E-03 -7.8342298E-02 -1.3399650E-01  0.0000000E+00
  5.2507600E+01  1.9189255E-02  3.5468245E-03 -5.6237527E-02 -1.2975733E-01  0.0000000E+00
  5.2507600E+01  2.0152255E-02  2.0153311E-03 -3.7641966E-02 -1.2583826E-01  0.0000000E+00
  5.2507600E+01  1.6289569E-02  7.8186234E-04 -2.3673674E-02 -1.2220246E-01  0.0000000E+00
  5.2507600E+01  1.2291977E-02 -2.3116692E-04 -1.3901578E-02 -1.1883440E-01  0.0000000E+00
  5.2507600E+01  8.8851543E-03 -1.0452619E-03 -7.5100440E-03 -1.1571404E-01  0.0000000E+00
  5.2507600E+01  6.0019874E-03 -1.7270062E-03 -3.7474320E-03 -1.1281439E-01  0.0000000E+00
  5.2507600E+01  4.0021748E-03 -2.2300369E-03 -1.5845379E-03 -1.1011313E-01  0.0000000E+00
  5.2507600E+01  2.6723571E-03 -2.6272532E-03 -5.7865427E-04 -1.0758773E-01  0.0000000E+00
  5.2507600E+01  1.9520246E-03 -2.9181823E-03 -1.4589413E-04 -1.0521973E-01  0.0000000E+00
  5.2507600E+01  1.5380010E-03 -3.0718518E-03  4.1145709E-05 -1.0299255E-01  0.0000000E+00
  5.2507600E+01  1.1723550E-03 -3.0617798E-03  1.5312443E-04 -1.0089261E-01  0.0000000E+00
  5.2507600E+01  7.5828845E-04 -2.8874866E-03  2.6270333E-04 -9.8909240E-02  0.0000000E+00
  5.2507600E+01  3.5354451E-04 -2.5828470E-03  3.7713330E-04 -9.7033848E-02  0.0000000E+00
  5.2507600E+01  9.0868098E-05 -2.2116049E-03  4.5952742E-04 -9.5258902E-02  0.0000000E+00
  5.2507600E+01  7.5057011E-05 -1.8503687E-03  4.5366392E-04 -9.3577136E-02  0.0000000E+00
  5.2507600E+01  3.0614457E-04 -1.5594110E-03  3.2716210E-04 -9.1981466E-02  0.0000000E+00
  5.2507600E+01  6.6685820E-04 -1.3418701E-03  1.4215240E-04 -9.0465884E-02  0.0000000E+00
  5.2507600E+01  8.1797657E-04 -1.1964478E-03 -6.8107004E-05 -8.9022828E-02  0.0000000E+00
  5.2507600E+01  8.1931890E-04 -1.1013005E-03 -2.2955797E-04 -8.7647193E-02  0.0000000E+00
  5.2507600E+01  7.8738810E-04 -1.0154257E-03 -2.8852041E-04 -8.6333083E-02  0.0000000E+00
  5.2507600E+01  7.9939608E-04 -9.2293008E-04 -2.2692646E-04 -8.5066532E-02  0.0000000E+00
