          atime           uavg           vavg           wavg         pm1avg           tavg
  2.0799350E+02  2.4868461E-05  2.5831179E-10 -2.2734548E-08 -8.4116403E-02  0.0000000E+00
  2.0799350E+02  8.3335436E-02  4.7471867E-04 -3.1897412E-05 -8.3983539E-02  0.0000000E+00
  2.0799350E+02  1.6548971E-01  1.7747356E-03  1.8021171E-05 -8.3838727E-02  0.0000000E+00
  2.0799350E+02  2.4574944E-01  3.7200299E-03  1.3418387E-04 -8.3656241E-02  0.0000000E+00
  2.0799350E+02  3.2222479E-01  6.1095822E-03  2.9605742E-04 -8.3421179E-02  0.0000000E+00
  2.0799350E+02  3.9375772E-01  8.7657747E-03  4.8372104E-04 -8.3125204E-02  0.0000000E+00
  2.0799350E+02  4.5914509E-01  1.1522167E-02  6.7869443E-04 -8.2766881E-02  0.0000000E+00
  2.0799350E+02  5.1758881E-01  1.4231036E-02  8.6484318E-04 -8.2353739E-02  0.0000000E+00
  2.0799350E+02  5.6875408E-01  1.6789088E-02  1.0299531E-03 -8.1890411E-02  0.0000000E+00
  2.0799350E+02  6.1278107E-01  1.9117550E-02  1.1619889E-03 -8.1389514E-02  0.0000000E+00
  2.0799350E+02  6.5013518E-01  2.1174166E-02  1.2544423E-03 -8.0862340E-02  0.0000000E+00
  2.0799350E+02  6.8147574E-01  2.2943731E-02  1.3050167E-03 -8.0318770E-02  0.0000000E+00
  2.0799350E+02  7.0755420E-01  2.4430185E-02  1.3144309E-03 -7.9767214E-02  0.0000000E+00
  2.0799350E+02  7.2913818E-01  2.5650145E-02  1.2853553E-03 -7.9214593E-02  0.0000000E+00
  2.0799350E+02  7.4695842E-01  2.6627746E-02  1.2214921E-03 -7.8666342E-02  0.0000000E+00
  2.0799350E+02  7.6167517E-01  2.7390669E-02  1.1268127E-03 -7.8126470E-02  0.0000000E+00
  2.0799350E+02  7.7386065E-01  2.7967225E-02  1.0049633E-03 -7.7597634E-02  0.0000000E+00
  2.0799350E+02  7.8399456E-01  2.8384373E-02  8.5885340E-04 -7.7081268E-02  0.0000000E+00
  2.0799350E+02  7.9246905E-01  2.8666547E-02  6.9043653E-04 -7.6577742E-02  0.0000000E+00
  2.0799350E+02  7.9960010E-01  2.8835168E-02  5.0069860E-04 -7.6086558E-02  0.0000000E+00
  2.0799350E+02  8.0564187E-01  2.8908703E-02  2.8986412E-04 -7.5606595E-02  0.0000000E+00
  2.0799350E+02  8.1080081E-01  2.8903166E-02  5.7833705E-05 -7.5136387E-02  0.0000000E+00
  2.0799350E+02  8.1524622E-01  2.8832915E-02 -1.9513513E-04 -7.4674442E-02  0.0000000E+00
  2.0799350E+02  8.1911393E-01  2.8711637E-02 -4.6749125E-04 -7.4219613E-02  0.0000000E+00
  2.0799350E+02  8.2250356E-01  2.8550839E-02 -7.5554047E-04 -7.3771026E-02  0.0000000E+00
  2.0799350E+02  8.2551735E-01  2.8353903E-02 -1.0563911E-03 -7.3325436E-02  0.0000000E+00
  2.0799350E+02  8.2822907E-01  2.8131845E-02 -1.3651574E-03 -7.2881656E-02  0.0000000E+00
  2.0799350E+02  8.3069601E-01  2.7889520E-02 -1.6773247E-03 -7.2438317E-02  0.0000000E+00
  2.0799350E+02  8.3298169E-01  2.7629482E-02 -1.9912047E-03 -7.1991181E-02  0.0000000E+00
  2.0799350E+02  8.3509862E-01  2.7358852E-02 -2.2996173E-03 -7.1544780E-02  0.0000000E+00
  2.0799350E+02  8.3709760E-01  2.7079169E-02 -2.6020186E-03 -7.1095028E-02  0.0000000E+00
  2.0799350E+02  8.3900815E-01  2.6793099E-02 -2.8962210E-03 -7.0640841E-02  0.0000000E+00
  2.0799350E+02  8.4085460E-01  2.6502834E-02 -3.1803645E-03 -7.0181250E-02  0.0000000E+00
  2.0799350E+02  8.4265667E-01  2.6210143E-02 -3.4528682E-03 -6.9715422E-02  0.0000000E+00
  2.0799350E+02  8.4443003E-01  2.5916424E-02 -3.7124019E-03 -6.9242672E-02  0.0000000E+00
