          atime          uvcov          vwcov          wucov         pm1avg           tavg
  2.0799350E+02  1.6414243E-11  9.2270029E-13  1.1392753E-11 -8.4116403E-02  0.0000000E+00
  2.0799350E+02 -1.8668924E-06 -3.4563497E-07  2.3167624E-05 -8.3983539E-02  0.0000000E+00
  2.0799350E+02 -1.7671150E-05 -2.1102867E-06  9.4714222E-05 -8.3838727E-02  0.0000000E+00
  2.0799350E+02 -6.5353859E-05 -5.1285287E-06  2.1376645E-04 -8.3656241E-02  0.0000000E+00
  2.0799350E+02 -1.5837464E-04 -8.0780548E-06  3.7238729E-04 -8.3421179E-02  0.0000000E+00
  2.0799350E+02 -3.0105692E-04 -9.3828414E-06  5.6036290E-04 -8.3125204E-02  0.0000000E+00
  2.0799350E+02 -4.8716446E-04 -7.9187662E-06  7.6613383E-04 -8.2766881E-02  0.0000000E+00
  2.0799350E+02 -7.0397695E-04 -3.4133149E-06  9.7754162E-04 -8.2353739E-02  0.0000000E+00
  2.0799350E+02 -9.3671087E-04  3.7573936E-06  1.1826103E-03 -8.1890411E-02  0.0000000E+00
  2.0799350E+02 -1.1708621E-03  1.2635643E-05  1.3698831E-03 -8.1389514E-02  0.0000000E+00
  2.0799350E+02 -1.3979573E-03  2.2429502E-05  1.5323129E-03 -8.0862340E-02  0.0000000E+00
  2.0799350E+02 -1.6141093E-03  3.2450321E-05  1.6665171E-03 -8.0318770E-02  0.0000000E+00
  2.0799350E+02 -1.8187567E-03  4.2075051E-05  1.7720334E-03 -7.9767214E-02  0.0000000E+00
  2.0799350E+02 -2.0135784E-03  5.0729422E-05  1.8505925E-03 -7.9214593E-02  0.0000000E+00
  2.0799350E+02 -2.2015811E-03  5.7887944E-05  1.9054276E-03 -7.8666342E-02  0.0000000E+00
  2.0799350E+02 -2.3863495E-03  6.3086796E-05  1.9406345E-03 -7.8126470E-02  0.0000000E+00
  2.0799350E+02 -2.5714567E-03  6.5945603E-05  1.9606031E-03 -7.7597634E-02  0.0000000E+00
  2.0799350E+02 -2.7600270E-03  6.6194082E-05  1.9695351E-03 -7.7081268E-02  0.0000000E+00
  2.0799350E+02 -2.9544444E-03  6.3699619E-05  1.9710662E-03 -7.6577742E-02  0.0000000E+00
  2.0799350E+02 -3.1562032E-03  5.8491754E-05  1.9680100E-03 -7.6086558E-02  0.0000000E+00
