          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  2.0799350E+02  2.3259790E-08  7.9974450E-06 -1.5466527E-07 -8.4116403E-02  0.0000000E+00
  2.0799350E+02  3.2176142E-04  8.6624527E-03 -4.2334407E-04 -8.3983539E-02  0.0000000E+00
  2.0799350E+02  1.1481550E-03  1.1858560E-02 -6.9546462E-04 -8.3838727E-02  0.0000000E+00
  2.0799350E+02  2.4936045E-03  1.1555802E-02 -8.6320916E-04 -8.3656241E-02  0.0000000E+00
  2.0799350E+02  4.2717950E-03  9.3713096E-03 -9.4420336E-04 -8.3421179E-02  0.0000000E+00
  2.0799350E+02  6.3231465E-03  6.2482208E-03 -9.3897174E-04 -8.3125204E-02  0.0000000E+00
  2.0799350E+02  8.4066113E-03  3.2822845E-03 -8.4640308E-04 -8.2766881E-02  0.0000000E+00
  2.0799350E+02  1.0346232E-02  1.1482060E-04 -6.7937936E-04 -8.2353739E-02  0.0000000E+00
  2.0799350E+02  1.1906581E-02 -2.3986510E-03 -4.5584362E-04 -8.1890411E-02  0.0000000E+00
  2.0799350E+02  1.3039328E-02 -4.4058771E-03 -2.0071371E-04 -8.1389514E-02  0.0000000E+00
  2.0799350E+02  1.3753369E-02 -6.0369898E-03  6.0834235E-05 -8.0862340E-02  0.0000000E+00
  2.0799350E+02  1.4096148E-02 -7.3903045E-03  3.0381828E-04 -8.0318770E-02  0.0000000E+00
  2.0799350E+02  1.4138008E-02 -8.5266509E-03  5.0451885E-04 -7.9767214E-02  0.0000000E+00
  2.0799350E+02  1.3959411E-02 -9.4705644E-03  6.4194856E-04 -7.9214593E-02  0.0000000E+00
  2.0799350E+02  1.3640885E-02 -1.0216666E-02  6.9950995E-04 -7.8666342E-02  0.0000000E+00
  2.0799350E+02  1.3255508E-02 -1.0739562E-02  6.6662696E-04 -7.8126470E-02  0.0000000E+00
  2.0799350E+02  1.2863806E-02 -1.1005588E-02  5.4013644E-04 -7.7597634E-02  0.0000000E+00
  2.0799350E+02  1.2510871E-02 -1.0984728E-02  3.2522563E-04 -7.7081268E-02  0.0000000E+00
  2.0799350E+02  1.2225568E-02 -1.0661042E-02  3.5701735E-05 -7.6577742E-02  0.0000000E+00
  2.0799350E+02  1.2021659E-02 -1.0039917E-02 -3.0662035E-04 -7.6086558E-02  0.0000000E+00
  2.0799350E+02  1.1900681E-02 -9.1504878E-03 -6.7362613E-04 -7.5606595E-02  0.0000000E+00
  2.0799350E+02  1.1856427E-02 -8.0415445E-03 -1.0339192E-03 -7.5136387E-02  0.0000000E+00
  2.0799350E+02  1.1880874E-02 -6.7692549E-03 -1.3573629E-03 -7.4674442E-02  0.0000000E+00
  2.0799350E+02  1.1971382E-02 -5.3750381E-03 -1.6213588E-03 -7.4219613E-02  0.0000000E+00
  2.0799350E+02  1.2129799E-02 -3.8975867E-03 -1.8009470E-03 -7.3771026E-02  0.0000000E+00
  2.0799350E+02  1.2311155E-02 -2.4089110E-03 -1.8778300E-03 -7.3325436E-02  0.0000000E+00
  2.0799350E+02  1.2513351E-02 -8.7541495E-04 -1.8944376E-03 -7.2881656E-02  0.0000000E+00
  2.0799350E+02  1.2729190E-02  6.1851147E-04 -1.8401689E-03 -7.2438317E-02  0.0000000E+00
  2.0799350E+02  1.2951375E-02  2.0259807E-03 -1.7141360E-03 -7.1991181E-02  0.0000000E+00
  2.0799350E+02  1.3167978E-02  3.2965939E-03 -1.5267473E-03 -7.1544780E-02  0.0000000E+00
  2.0799350E+02  1.3372142E-02  4.4268195E-03 -1.2925567E-03 -7.1095028E-02  0.0000000E+00
  2.0799350E+02  1.3556946E-02  5.4181158E-03 -1.0310403E-03 -7.0640841E-02  0.0000000E+00
  2.0799350E+02  1.3717246E-02  6.2824643E-03 -7.6404036E-04 -7.0181250E-02  0.0000000E+00
  2.0799350E+02  1.3849863E-02  7.0388037E-03 -5.1393290E-04 -6.9715422E-02  0.0000000E+00
  2.0799350E+02  1.3953573E-02  7.7098665E-03 -3.0195337E-04 -6.9242672E-02  0.0000000E+00
  2.0799350E+02  1.4028947E-02  8.3194224E-03 -1.4670806E-04 -6.8762471E-02  0.0000000E+00
  2.0799350E+02  1.4078052E-02  8.8899331E-03 -6.2898170E-05 -6.8274457E-02  0.0000000E+00
  2.0799350E+02  1.4104063E-02  9.4406235E-03 -6.0284094E-05 -6.7778442E-02  0.0000000E+00
  2.0799350E+02  1.4110820E-02  9.9859733E-03 -1.4291697E-04 -6.7274408E-02  0.0000000E+00
  2.0799350E+02  1.4102337E-02  1.0534635E-02 -3.0866497E-04 -6.6762509E-02  0.0000000E+00
  2.0799350E+02  1.4082332E-02  1.1088779E-02 -5.4906143E-04 -6.6243065E-02  0.0000000E+00
  2.0799350E+02  1.4053783E-02  1.1643879E-02 -8.4950226E-04 -6.5716553E-02  0.0000000E+00
  2.0799350E+02  1.4018548E-02  1.2188926E-02 -1.1898198E-03 -6.5183586E-02  0.0000000E+00
  2.0799350E+02  1.3977092E-02  1.2707100E-02 -1.5452605E-03 -6.4644905E-02  0.0000000E+00
  2.0799350E+02  1.3928343E-02  1.3176875E-02 -1.8878936E-03 -6.4101343E-02  0.0000000E+00
  2.0799350E+02  1.3869711E-02  1.3573589E-02 -2.1884779E-03 -6.3553804E-02  0.0000000E+00
  2.0799350E+02  1.3797303E-02  1.3871465E-02 -2.4188148E-03 -6.3003225E-02  0.0000000E+00
  2.0799350E+02  1.3706374E-02  1.4046093E-02 -2.5546134E-03 -6.2450531E-02  0.0000000E+00
  2.0799350E+02  1.3592029E-02  1.4077384E-02 -2.5788965E-03 -6.1896595E-02  0.0000000E+00
  2.0799350E+02  1.3450227E-02  1.3952986E-02 -2.4859733E-03 -6.1342178E-02  0.0000000E+00
  2.0799350E+02  1.3279109E-02  1.3672189E-02 -2.2860076E-03 -6.0787874E-02  0.0000000E+00
  2.0799350E+02  1.3080683E-02  1.3250296E-02 -2.0102073E-03 -6.0234037E-02  0.0000000E+00
  2.0799350E+02  1.2862905E-02  1.2723486E-02 -1.7166638E-03 -5.9680710E-02  0.0000000E+00
  2.0799350E+02  1.2626065E-02  1.2112227E-02 -1.4202616E-03 -5.9128129E-02  0.0000000E+00
  2.0799350E+02  1.2376414E-02  1.1410014E-02 -1.0000213E-03 -5.8573726E-02  0.0000000E+00
  2.0799350E+02  1.2138792E-02  1.0667197E-02 -5.2905604E-04 -5.8024393E-02  0.0000000E+00
  2.0799350E+02  1.1911628E-02  9.8826026E-03 -3.3929016E-05 -5.7476577E-02  0.0000000E+00
  2.0799350E+02  1.1694158E-02  9.0620519E-03  4.6443855E-04 -5.6930391E-02  0.0000000E+00
  2.0799350E+02  1.1484980E-02  8.2130803E-03  9.5150516E-04 -5.6385996E-02  0.0000000E+00
  2.0799350E+02  1.1282243E-02  7.3442197E-03  1.4176136E-03 -5.5843586E-02  0.0000000E+00
  2.0799350E+02  1.1083813E-02  6.4644133E-03  1.8567217E-03 -5.5303373E-02  0.0000000E+00
  2.0799350E+02  1.0887422E-02  5.5825548E-03  2.2653442E-03 -5.4765577E-02  0.0000000E+00
  2.0799350E+02  1.0690790E-02  4.7071397E-03  2.6416885E-03 -5.4230417E-02  0.0000000E+00
  2.0799350E+02  1.0491735E-02  3.8460181E-03  2.9849690E-03 -5.3698103E-02  0.0000000E+00
  2.0799350E+02  1.0288261E-02  3.0062366E-03  3.2948840E-03 -5.3168834E-02  0.0000000E+00
  2.0799350E+02  1.0078632E-02  2.1939577E-03  3.5712388E-03 -5.2642788E-02  0.0000000E+00
  2.0799350E+02  9.8614237E-03  1.4144469E-03  3.8136991E-03 -5.2120128E-02  0.0000000E+00
  2.0799350E+02  9.6355672E-03  6.7211354E-04  4.0216592E-03 -5.1600992E-02  0.0000000E+00
  2.0799350E+02  9.4003739E-03 -2.9403446E-05  4.1942075E-03 -5.1085501E-02  0.0000000E+00
  2.0799350E+02  9.1555474E-03 -6.8711857E-04  4.3301757E-03 -5.0573753E-02  0.0000000E+00
  2.0799350E+02  8.9011833E-03 -1.2985616E-03  4.4282525E-03 -5.0065827E-02  0.0000000E+00
  2.0799350E+02  8.6377565E-03 -1.8616302E-03  4.4871493E-03 -4.9561788E-02  0.0000000E+00
  2.0799350E+02  8.3660979E-03 -2.3744447E-03  4.5057988E-03 -4.9061686E-02  0.0000000E+00
  2.0799350E+02  8.0873608E-03 -2.8352168E-03  4.4835721E-03 -4.8565557E-02  0.0000000E+00
  2.0799350E+02  7.8029784E-03 -3.2421429E-03  4.4204982E-03 -4.8073432E-02  0.0000000E+00
  2.0799350E+02  7.5146127E-03 -3.5933340E-03  4.3174697E-03 -4.7585335E-02  0.0000000E+00
