          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  2.0799350E+02 -7.3997864E-07  1.3534652E-05 -2.8948356E-06 -8.4116403E-02  0.0000000E+00
  2.0799350E+02 -1.2042443E-03  8.7735119E-03 -7.5557673E-03 -8.3983539E-02  0.0000000E+00
  2.0799350E+02 -2.9214283E-04  1.2110952E-02 -1.1802561E-02 -8.3838727E-02  0.0000000E+00
  2.0799350E+02  2.0777159E-03  1.1895547E-02 -1.3962111E-02 -8.3656241E-02  0.0000000E+00
  2.0799350E+02  5.2402945E-03  9.5686159E-03 -1.4792688E-02 -8.3421179E-02  0.0000000E+00
  2.0799350E+02  8.5868130E-03  6.1761277E-03 -1.4755554E-02 -8.3125204E-02  0.0000000E+00
  2.0799350E+02  1.1625472E-02  2.5285910E-03 -1.4101105E-02 -8.2766881E-02  0.0000000E+00
  2.0799350E+02  1.3951914E-02 -9.6915724E-04 -1.2971089E-02 -8.2353739E-02  0.0000000E+00
  2.0799350E+02  1.5483336E-02 -4.0095128E-03 -1.1464330E-02 -8.1890411E-02  0.0000000E+00
  2.0799350E+02  1.6231557E-02 -6.5865257E-03 -9.6267253E-03 -8.1389514E-02  0.0000000E+00
  2.0799350E+02  1.6310545E-02 -8.7635484E-03 -7.5228921E-03 -8.0862340E-02  0.0000000E+00
  2.0799350E+02  1.5882982E-02 -1.0631784E-02 -5.2290533E-03 -8.0318770E-02  0.0000000E+00
  2.0799350E+02  1.5121776E-02 -1.2281851E-02 -2.8268309E-03 -7.9767214E-02  0.0000000E+00
  2.0799350E+02  1.4184473E-02 -1.3786433E-02 -3.9792999E-04 -7.9214593E-02  0.0000000E+00
  2.0799350E+02  1.3198545E-02 -1.5192084E-02  1.9803101E-03 -7.8666342E-02  0.0000000E+00
  2.0799350E+02  1.2255502E-02 -1.6518252E-02  4.2385145E-03 -7.8126470E-02  0.0000000E+00
  2.0799350E+02  1.1411799E-02 -1.7761591E-02  6.3180444E-03 -7.7597634E-02  0.0000000E+00
  2.0799350E+02  1.0694503E-02 -1.8903641E-02  8.1729590E-03 -7.7081268E-02  0.0000000E+00
  2.0799350E+02  1.0109669E-02 -1.9919920E-02  9.7711903E-03 -7.6577742E-02  0.0000000E+00
  2.0799350E+02  9.6514120E-03 -2.0788519E-02  1.1094950E-02 -7.6086558E-02  0.0000000E+00
  2.0799350E+02  9.3096037E-03 -2.1496260E-02  1.2140385E-02 -7.5606595E-02  0.0000000E+00
  2.0799350E+02  9.0741925E-03 -2.2040483E-02  1.2916514E-02 -7.5136387E-02  0.0000000E+00
  2.0799350E+02  8.9340822E-03 -2.2424527E-02  1.3443443E-02 -7.4674442E-02  0.0000000E+00
  2.0799350E+02  8.8685458E-03 -2.2644992E-02  1.3749909E-02 -7.4219613E-02  0.0000000E+00
  2.0799350E+02  8.8456653E-03 -2.2715431E-02  1.3873000E-02 -7.3771026E-02  0.0000000E+00
  2.0799350E+02  8.8786984E-03 -2.2721305E-02  1.3833911E-02 -7.3325436E-02  0.0000000E+00
  2.0799350E+02  8.9410523E-03 -2.2581405E-02  1.3637616E-02 -7.2881656E-02  0.0000000E+00
  2.0799350E+02  9.0333364E-03 -2.2330351E-02  1.3308573E-02 -7.2438317E-02  0.0000000E+00
  2.0799350E+02  9.1536105E-03 -2.1994486E-02  1.2869258E-02 -7.1991181E-02  0.0000000E+00
  2.0799350E+02  9.2955500E-03 -2.1601398E-02  1.2350075E-02 -7.1544780E-02  0.0000000E+00
  2.0799350E+02  9.4543340E-03 -2.1167002E-02  1.1770413E-02 -7.1095028E-02  0.0000000E+00
  2.0799350E+02  9.6245226E-03 -2.0704443E-02  1.1148559E-02 -7.0640841E-02  0.0000000E+00
  2.0799350E+02  9.8013465E-03 -2.0222753E-02  1.0498663E-02 -7.0181250E-02  0.0000000E+00
  2.0799350E+02  9.9810678E-03 -1.9727523E-02  9.8306711E-03 -6.9715422E-02  0.0000000E+00
  2.0799350E+02  1.0161143E-02 -1.9221619E-02  9.1506157E-03 -6.9242672E-02  0.0000000E+00
  2.0799350E+02  1.0340216E-02 -1.8705917E-02  8.4611894E-03 -6.8762471E-02  0.0000000E+00
  2.0799350E+02  1.0517980E-02 -1.8180031E-02  7.7625393E-03 -6.8274457E-02  0.0000000E+00
  2.0799350E+02  1.0694928E-02 -1.7643016E-02  7.0532038E-03 -6.7778442E-02  0.0000000E+00
  2.0799350E+02  1.0872039E-02 -1.7094021E-02  6.3311247E-03 -6.7274408E-02  0.0000000E+00
  2.0799350E+02  1.1050416E-02 -1.6532867E-02  5.5946612E-03 -6.6762509E-02  0.0000000E+00
  2.0799350E+02  1.1230915E-02 -1.5960517E-02  4.8435359E-03 -6.6243065E-02  0.0000000E+00
  2.0799350E+02  1.1413805E-02 -1.5379435E-02  4.0796411E-03 -6.5716553E-02  0.0000000E+00
  2.0799350E+02  1.1598467E-02 -1.4793791E-02  3.3076352E-03 -6.5183586E-02  0.0000000E+00
  2.0799350E+02  1.1783193E-02 -1.4209497E-02  2.5352564E-03 -6.4644905E-02  0.0000000E+00
  2.0799350E+02  1.1965090E-02 -1.3634045E-02  1.7732841E-03 -6.4101343E-02  0.0000000E+00
  2.0799350E+02  1.2140142E-02 -1.3076131E-02  1.0350763E-03 -6.3553804E-02  0.0000000E+00
  2.0799350E+02  1.2303444E-02 -1.2545036E-02  3.3561184E-04 -6.3003225E-02  0.0000000E+00
  2.0799350E+02  1.2449654E-02 -1.2049738E-02 -3.1003376E-04 -6.2450531E-02  0.0000000E+00
  2.0799350E+02  1.2573683E-02 -1.1597733E-02 -8.8884956E-04 -6.1896595E-02  0.0000000E+00
  2.0799350E+02  1.2671667E-02 -1.1193547E-02 -1.3927591E-03 -6.1342178E-02  0.0000000E+00
  2.0799350E+02  1.2742236E-02 -1.0836906E-02 -1.8222701E-03 -6.0787874E-02  0.0000000E+00
  2.0799350E+02  1.2788131E-02 -1.0520544E-02 -2.1909743E-03 -6.0234037E-02  0.0000000E+00
  2.0799350E+02  1.2818182E-02 -1.0227629E-02 -2.5309699E-03 -5.9680710E-02  0.0000000E+00
  2.0799350E+02  1.2847348E-02 -9.9051619E-03 -2.9007537E-03 -5.9128129E-02  0.0000000E+00
  2.0799350E+02  1.2858767E-02 -9.5577535E-03 -3.2587003E-03 -5.8573726E-02  0.0000000E+00
  2.0799350E+02  1.2857026E-02 -9.2373176E-03 -3.5751505E-03 -5.8024393E-02  0.0000000E+00
  2.0799350E+02  1.2854091E-02 -8.9461768E-03 -3.8604609E-03 -5.7476577E-02  0.0000000E+00
  2.0799350E+02  1.2857845E-02 -8.6884665E-03 -4.1189509E-03 -5.6930391E-02  0.0000000E+00
  2.0799350E+02  1.2872955E-02 -8.4675518E-03 -4.3523624E-03 -5.6385996E-02  0.0000000E+00
  2.0799350E+02  1.2901513E-02 -8.2858399E-03 -4.5606997E-03 -5.5843586E-02  0.0000000E+00
  2.0799350E+02  1.2943604E-02 -8.1446551E-03 -4.7429338E-03 -5.5303373E-02  0.0000000E+00
  2.0799350E+02  1.2997804E-02 -8.0441720E-03 -4.8975816E-03 -5.4765577E-02  0.0000000E+00
  2.0799350E+02  1.3061616E-02 -7.9834005E-03 -5.0231684E-03 -5.4230417E-02  0.0000000E+00
  2.0799350E+02  1.3131842E-02 -7.9602174E-03 -5.1185824E-03 -5.3698103E-02  0.0000000E+00
  2.0799350E+02  1.3204901E-02 -7.9714394E-03 -5.1833324E-03 -5.3168834E-02  0.0000000E+00
  2.0799350E+02  1.3277091E-02 -8.0129308E-03 -5.2177153E-03 -5.2642788E-02  0.0000000E+00
  2.0799350E+02  1.3344805E-02 -8.0797415E-03 -5.2229047E-03 -5.2120128E-02  0.0000000E+00
  2.0799350E+02  1.3404697E-02 -8.1662696E-03 -5.2009681E-03 -5.1600992E-02  0.0000000E+00
  2.0799350E+02  1.3453807E-02 -8.2664418E-03 -5.1548241E-03 -5.1085501E-02  0.0000000E+00
  2.0799350E+02  1.3489654E-02 -8.3739076E-03 -5.0881456E-03 -5.0573753E-02  0.0000000E+00
  2.0799350E+02  1.3510283E-02 -8.4822410E-03 -5.0052219E-03 -5.0065827E-02  0.0000000E+00
  2.0799350E+02  1.3514292E-02 -8.5851440E-03 -4.9107857E-03 -4.9561788E-02  0.0000000E+00
  2.0799350E+02  1.3500827E-02 -8.6766468E-03 -4.8098160E-03 -4.9061686E-02  0.0000000E+00
  2.0799350E+02  1.3469556E-02 -8.7512983E-03 -4.7073255E-03 -4.8565557E-02  0.0000000E+00
  2.0799350E+02  1.3420619E-02 -8.8043426E-03 -4.6081423E-03 -4.8073432E-02  0.0000000E+00
  2.0799350E+02  1.3354572E-02 -8.8318745E-03 -4.5166936E-03 -4.7585335E-02  0.0000000E+00
  2.0799350E+02  1.3272309E-02 -8.8309698E-03 -4.4368028E-03 -4.7101287E-02  0.0000000E+00
  2.0799350E+02  1.3174983E-02 -8.7997834E-03 -4.3715068E-03 -4.6621307E-02  0.0000000E+00
  2.0799350E+02  1.3063917E-02 -8.7376116E-03 -4.3229047E-03 -4.6145416E-02  0.0000000E+00
  2.0799350E+02  1.2940525E-02 -8.6449100E-03 -4.2920460E-03 -4.5673638E-02  0.0000000E+00
  2.0799350E+02  1.2806223E-02 -8.5232651E-03 -4.2788679E-03 -4.5205996E-02  0.0000000E+00
  2.0799350E+02  1.2661388E-02 -8.3742649E-03 -4.2822620E-03 -4.4739500E-02  0.0000000E+00
  2.0799350E+02  1.2509118E-02 -8.2034060E-03 -4.2999345E-03 -4.4280234E-02  0.0000000E+00
  2.0799350E+02  1.2349527E-02 -8.0140451E-03 -4.3287007E-03 -4.3825176E-02  0.0000000E+00
  2.0799350E+02  1.2183426E-02 -7.8108427E-03 -4.3647174E-03 -4.3374335E-02  0.0000000E+00
  2.0799350E+02  1.2011402E-02 -7.5985243E-03 -4.4037736E-03 -4.2927709E-02  0.0000000E+00
  2.0799350E+02  1.1833835E-02 -7.3814443E-03 -4.4417156E-03 -4.2485268E-02  0.0000000E+00
  2.0799350E+02  1.1650949E-02 -7.1630633E-03 -4.4749844E-03 -4.2046949E-02  0.0000000E+00
