          atime           conv           prod        pres_tr        pres_df        garbage
  2.0799350E+02  2.4399285E-06 -5.4949753E-09  1.7540367E-06  3.9330198E-06  4.6951468E-04
  2.0799350E+02 -8.8714896E-05  5.7791773E-04  4.2589641E-03  4.2804350E-03  1.4615512E-04
  2.0799350E+02 -7.5362221E-04  4.2703968E-03  6.1193076E-03  6.1556254E-03 -3.0114112E-05
  2.0799350E+02 -2.2972866E-03  1.2933096E-02  6.5678466E-03  6.5930988E-03  2.6986177E-04
  2.0799350E+02 -4.8738089E-03  2.6183925E-02  6.3389678E-03  6.3494506E-03 -1.7912775E-04
  2.0799350E+02 -7.9976723E-03  4.1664053E-02  5.8364747E-03  5.8161978E-03  4.6907110E-04
  2.0799350E+02 -1.1901481E-02  5.6015809E-02  5.4082145E-03  5.4212464E-03 -2.7689942E-03
  2.0799350E+02 -1.4214933E-02  6.6432739E-02  4.9438362E-03  4.8908365E-03  2.8867255E-04
  2.0799350E+02 -1.6695044E-02  7.1405996E-02  4.5842599E-03  4.5260433E-03  5.2479883E-04
  2.0799350E+02 -1.8605525E-02  7.1389071E-02  4.2456237E-03  4.2163686E-03  1.6236084E-05
  2.0799350E+02 -1.9808079E-02  6.7481621E-02  3.8775940E-03  3.8886069E-03 -3.6369967E-04
  2.0799350E+02 -2.0466573E-02  6.1010321E-02  3.4585500E-03  3.5048312E-03 -4.2004353E-04
  2.0799350E+02 -2.0843363E-02  5.3242584E-02  2.9902910E-03  3.0579377E-03 -2.6679183E-04
  2.0799350E+02 -2.1173415E-02  4.5213362E-02  2.4924564E-03  2.5653976E-03 -8.9414119E-05
  2.0799350E+02 -2.1601870E-02  3.7645237E-02  1.9968485E-03  2.0618642E-03 -1.5374225E-05
  2.0799350E+02 -2.2170692E-02  3.0941992E-02  1.5418488E-03  1.5912865E-03 -6.8767716E-05
  2.0799350E+02 -2.2840044E-02  2.5235884E-02  1.1671176E-03  1.1991773E-03 -1.8518304E-04
  2.0799350E+02 -2.3530040E-02  2.0468814E-02  9.0876690E-04  9.2568400E-04 -2.6289364E-04
  2.0799350E+02 -2.4168507E-02  1.6487603E-02  7.9519785E-04  8.0011407E-04 -2.2648834E-04
  2.0799350E+02 -2.4730409E-02  1.3133582E-02  8.4379124E-04  8.3756116E-04 -7.9047228E-05
  2.0799350E+02 -2.5254579E-02  1.0306691E-02  1.0586428E-03  1.0382834E-03  8.1029525E-05
  2.0799350E+02 -2.5823392E-02  7.9843088E-03  1.4295327E-03  1.3904816E-03  1.0243281E-04
  2.0799350E+02 -2.6491027E-02  6.1750022E-03  1.9323196E-03  1.8771280E-03 -9.3511728E-05
  2.0799350E+02 -2.7145972E-02  4.7874121E-03  2.5309494E-03  2.4874924E-03 -2.8027472E-04
  2.0799350E+02 -2.7513263E-02  3.5278614E-03  3.2191228E-03  3.2156329E-03  1.0757132E-05
  2.0799350E+02 -2.8101265E-02  2.5958240E-03  4.0487130E-03  4.0122069E-03 -1.8593012E-04
  2.0799350E+02 -2.8648882E-02  1.8460822E-03  4.8969035E-03  4.8717491E-03 -3.1646016E-04
  2.0799350E+02 -2.9155407E-02  1.2591439E-03  5.7412702E-03  5.7537663E-03 -4.0223859E-04
  2.0799350E+02 -2.9620095E-02  8.1458752E-04  6.5682286E-03  6.6316101E-03 -4.5512533E-04
  2.0799350E+02 -3.0032630E-02  5.0136770E-04  7.3516817E-03  7.4689121E-03 -4.7981304E-04
  2.0799350E+02 -3.0392856E-02  3.0045228E-04  8.0852902E-03  8.2532024E-03 -4.7863331E-04
  2.0799350E+02 -3.0699377E-02  1.9704301E-04  8.7605434E-03  8.9720107E-03 -4.5212458E-04
  2.0799350E+02 -3.0953215E-02  1.7715286E-04  9.3719904E-03  9.6178350E-03 -4.0095700E-04
  2.0799350E+02 -3.1157863E-02  2.2757396E-04  9.9169572E-03  1.0187367E-02 -3.2687589E-04
  2.0799350E+02 -3.1318987E-02  3.3588647E-04  1.0395218E-02  1.0680743E-02 -2.3318120E-04
  2.0799350E+02 -3.1443845E-02  4.9050008E-04  1.0808633E-02  1.1100831E-02 -1.2481733E-04
  2.0799350E+02 -3.1540509E-02  6.8071981E-04  1.1160757E-02  1.1452543E-02 -8.1477199E-06
