          atime        pres_st        turb_df           diss        visc_df        garbage
  2.0799350E+02  4.9499187E-06 -1.4568293E-05 -1.0742675E-01  1.0804379E-01 -5.4949753E-09
  2.0799350E+02  6.7501090E-06  3.3512548E-04 -9.7972425E-02  9.2781463E-02  5.7791773E-04
  2.0799350E+02  8.1238549E-06  2.3571136E-03 -9.0454099E-02  7.6812337E-02  4.2703968E-03
  2.0799350E+02  5.5762093E-06  6.2082152E-03 -8.1596724E-02  5.3699366E-02  1.2933096E-02
  2.0799350E+02  8.1113735E-06  9.8806700E-03 -7.1230564E-02  2.3786626E-02  2.6183925E-02
  2.0799350E+02  3.6932673E-06  1.0754220E-02 -6.1056116E-02 -5.2089583E-03  4.1664053E-02
  2.0799350E+02  2.6478963E-05  7.6556798E-03 -5.2544065E-02 -2.8597620E-02  5.6015809E-02
  2.0799350E+02  5.8338436E-06  1.1905465E-03 -4.7181561E-02 -4.0522828E-02  6.6432739E-02
  2.0799350E+02  4.7463543E-06 -6.0464007E-03 -4.3641576E-02 -4.3120606E-02  7.1405996E-02
  2.0799350E+02  9.1528340E-06 -1.2235283E-02 -4.1235897E-02 -4.0223756E-02  7.1389071E-02
  2.0799350E+02  1.2052138E-05 -1.6569904E-02 -3.9462106E-02 -3.4527298E-02  6.7481621E-02
  2.0799350E+02  1.1072545E-05 -1.8909132E-02 -3.7982453E-02 -2.7842932E-02  6.1010321E-02
  2.0799350E+02  6.5471645E-06 -1.9504972E-02 -3.6597825E-02 -2.1310993E-02  5.3242584E-02
  2.0799350E+02  5.5091995E-08 -1.8798807E-02 -3.5218602E-02 -1.5574527E-02  4.5213362E-02
  2.0799350E+02 -6.6144210E-06 -1.7277275E-02 -3.3834159E-02 -1.0920113E-02  3.7645237E-02
  2.0799350E+02 -1.2117541E-05 -1.5379243E-02 -3.2482814E-02 -7.3900535E-03  3.0941992E-02
  2.0799350E+02 -1.5873911E-05 -1.3445357E-02 -3.1223989E-02 -4.8705591E-03  2.5235884E-02
  2.0799350E+02 -1.8089932E-05 -1.1701631E-02 -3.0114356E-02 -3.1605497E-03  2.0468814E-02
  2.0799350E+02 -1.9530033E-05 -1.0268553E-02 -2.9189769E-02 -2.0257014E-03  1.6487603E-02
  2.0799350E+02 -2.1078650E-05 -9.1871585E-03 -2.8454742E-02 -1.2423596E-03  1.3133582E-02
  2.0799350E+02 -2.3135678E-05 -8.4535662E-03 -2.7881248E-02 -6.3594420E-04  1.0306691E-02
  2.0799350E+02 -2.4888139E-05 -8.0534200E-03 -2.7418646E-02 -1.1847237E-04  7.9843088E-03
  2.0799350E+02 -2.3500805E-05 -7.9877246E-03 -2.7016476E-02  2.7017817E-04  6.1750022E-03
  2.0799350E+02 -1.3268525E-05 -8.2815356E-03 -2.6661936E-02  3.1263953E-04  4.7874121E-03
  2.0799350E+02  1.6173919E-06 -8.9671682E-03 -2.6407651E-02 -5.3727204E-06  3.5278614E-03
  2.0799350E+02 -4.3477218E-06 -9.7631135E-03 -2.6192070E-02  3.6300791E-04  2.5958240E-03
