          atime          uvari          vvari          wvari          pvari          tvari
  2.0799350E+02 -2.9651795E-10  1.0488252E-11  6.1758890E-11  5.5606304E-04  0.0000000E+00
  2.0799350E+02  7.9064337E-04  3.6747309E-07  3.5094453E-04  5.5420206E-04  0.0000000E+00
  2.0799350E+02  3.0872977E-03  4.9200343E-06  1.2570451E-03  5.5345671E-04  0.0000000E+00
  2.0799350E+02  6.6872968E-03  2.1270623E-05  2.5622967E-03  5.5344849E-04  0.0000000E+00
  2.0799350E+02  1.1150845E-02  5.8074922E-05  4.1408991E-03  5.5384176E-04  0.0000000E+00
  2.0799350E+02  1.5928789E-02  1.2382107E-04  5.8979460E-03  5.5435941E-04  0.0000000E+00
  2.0799350E+02  2.0464015E-02  2.2615743E-04  7.7434379E-03  5.5482676E-04  0.0000000E+00
  2.0799350E+02  2.4342703E-02  3.7026823E-04  9.5954893E-03  5.5511789E-04  0.0000000E+00
  2.0799350E+02  2.7334358E-02  5.6042319E-04  1.1384252E-02  5.5529054E-04  0.0000000E+00
  2.0799350E+02  2.9444078E-02  7.9761778E-04  1.3054019E-02  5.5539277E-04  0.0000000E+00
  2.0799350E+02  3.0769872E-02  1.0806056E-03  1.4567747E-02  5.5551486E-04  0.0000000E+00
  2.0799350E+02  3.1456860E-02  1.4064053E-03  1.5903690E-02  5.5576133E-04  0.0000000E+00
  2.0799350E+02  3.1663827E-02  1.7707693E-03  1.7052350E-02  5.5623137E-04  0.0000000E+00
  2.0799350E+02  3.1540516E-02  2.1686090E-03  1.8013772E-02  5.5700670E-04  0.0000000E+00
  2.0799350E+02  3.1213991E-02  2.5943726E-03  1.8795152E-02  5.5814535E-04  0.0000000E+00
  2.0799350E+02  3.0782444E-02  3.0423711E-03  1.9408767E-02  5.5968034E-04  0.0000000E+00
  2.0799350E+02  3.0314812E-02  3.5070470E-03  1.9870207E-02  5.6162195E-04  0.0000000E+00
  2.0799350E+02  2.9854549E-02  3.9831821E-03  2.0196913E-02  5.6396243E-04  0.0000000E+00
  2.0799350E+02  2.9425927E-02  4.4660397E-03  2.0407008E-02  5.6668186E-04  0.0000000E+00
  2.0799350E+02  2.9041216E-02  4.9514355E-03  2.0518412E-02  5.6975396E-04  0.0000000E+00
  2.0799350E+02  2.8707107E-02  5.4357346E-03  2.0548242E-02  5.7315072E-04  0.0000000E+00
